articles, LinearSVC(, window=1800, margin=0.004
0 - threshold: 3.7167334844141733, score: 0.422415055304 (+/- 0.0355361477085), precision: 0.399468607935, recall: 0.40862391529, ~n_attr: 2915
1 - threshold: 1.8664887760179716, score: 0.428904273096 (+/- 0.0329838531416), precision: 0.407399761996, recall: 0.414994872085, ~n_attr: 10750
2 - threshold: 1.4708960700088762, score: 0.429186758972 (+/- 0.0338095364186), precision: 0.405993745744, recall: 0.412980400469, ~n_attr: 15632
3 - threshold: 2.2296155830541164, score: 0.426092941832 (+/- 0.0314309815695), precision: 0.405140969805, recall: 0.412066125984, ~n_attr: 7904
4 - threshold: 3.7736761054261923, score: 0.424107583353 (+/- 0.0350571936767), precision: 0.402078263401, recall: 0.411046074308, ~n_attr: 2820
5 - threshold: 3.3230905497125516, score: 0.421858836636 (+/- 0.0297836999966), precision: 0.398651004223, recall: 0.405371131466, ~n_attr: 3681
6 - threshold: 2.8770051932531087, score: 0.422424604122 (+/- 0.0317138567983), precision: 0.39871050276, recall: 0.405881535944, ~n_attr: 4903
7 - threshold: 1.6846718075029359, score: 0.429185963237 (+/- 0.0324575317789), precision: 0.406851645587, recall: 0.41410364866, ~n_attr: 12722
8 - threshold: 1.545356660651927, score: 0.429185167502 (+/- 0.0356439573358), precision: 0.406120456648, recall: 0.413817606681, ~n_attr: 14491
9 - threshold: 2.739713744369909, score: 0.425805681547 (+/- 0.0355997900156), precision: 0.403353973013, recall: 0.410382362014, ~n_attr: 5395
10 - threshold: 3.9955352722929587, score: 0.417051802339 (+/- 0.0414906570081), precision: 0.394075068877, recall: 0.403584836702, ~n_attr: 2454
11 - threshold: 3.169860250491368, score: 0.420440041378 (+/- 0.0392374679943), precision: 0.397339758907, recall: 0.40449900873, ~n_attr: 4038
12 - threshold: 0.7840529722777689, score: 0.42833532267 (+/- 0.0388390460531), precision: 0.404953336519, recall: 0.414530383695, ~n_attr: 34668
13 - threshold: 2.394554699317286, score: 0.420172674465 (+/- 0.0332162871078), precision: 0.399366071307, recall: 0.405968695783, ~n_attr: 6947
14 - threshold: 0.5849136411308531, score: 0.427487865043 (+/- 0.039890957681), precision: 0.404251022373, recall: 0.413173251025, ~n_attr: 43482
15 - threshold: 2.651301724404445, score: 0.418477759211 (+/- 0.0330459550935), precision: 0.395508367814, recall: 0.401573070599, ~n_attr: 5720
16 - threshold: 3.198742240482622, score: 0.419315668019 (+/- 0.0356417532636), precision: 0.395778452897, recall: 0.403233527977, ~n_attr: 3976
17 - threshold: 1.6093583711035895, score: 0.428058406939 (+/- 0.0345687066017), precision: 0.405278914572, recall: 0.413000692377, ~n_attr: 13703
18 - threshold: 0.13884574970732455, score: 0.427209357842 (+/- 0.0389766266473), precision: 0.404127138211, recall: 0.413166853827, ~n_attr: 60536
19 - threshold: 3.7240571201622825, score: 0.4246701679 (+/- 0.0349712384694), precision: 0.401593614721, recall: 0.41067583368, ~n_attr: 2901
20 - threshold: 2.858367666792319, score: 0.421012970478 (+/- 0.0321931933033), precision: 0.397756966408, recall: 0.404494807538, ~n_attr: 4965
21 - threshold: 3.315073966329236, score: 0.421857245166 (+/- 0.0307331453333), precision: 0.398710237075, recall: 0.405481079773, ~n_attr: 3693
22 - threshold: 2.6434347467157275, score: 0.419325216838 (+/- 0.0323016821174), precision: 0.396908533048, recall: 0.40302952463, ~n_attr: 5745
