ID;band;status;word;Pos;COCA-All;COCA-Acad;ratio;disp;range;
187;1;r;company;n;217 148;56 541;0.91;0.88;8;Fin
618;2;r;fund;n;57 366;21 571;1.32;0.86;9;Fin
694;2;r;sell;v;94 075;19 039;0.71;0.90;8;Fin
718;2;r;billion;m;66 123;18 397;0.97;0.89;6;Fin
776;2;r;buy;v;109 080;17 425;0.56;0.90;8;Fin
781;2;r;stock;n;57 330;17 200;1.05;0.81;5;Fin
1181;3;r;customer;n;38 894;11 413;1.03;0.87;8;Fin
1260;3;r;share;n;32 229;10 496;1.14;0.89;9;Fin
1431;3;r;sales;n;37 098;8 922;0.84;0.85;9;Fin
1632;4;r;revenue;n;24 225;7 711;1.11;0.90;8;Fin
1753;4;r;profit;n;22 947;7 140;1.09;0.88;9;Fin
1816;4;r;investor;n;23 789;6 873;1.01;0.82;5;Fin
1835;4;r;invest;v;19 491;6 780;1.22;0.91;9;Fin
1852;4;r;asset;n;18 161;6 705;1.29;0.88;8;Fin
1922;4;r;bond;n;24 526;6 373;0.91;0.89;9;Fin
2247;5;r;analyst;n;25 247;5 193;0.72;0.88;8;Fin
2258;5;r;cash;n;23 227;5 161;0.78;0.87;8;Fin
2347;5;r;estate;n;22 690;4 910;0.76;0.88;7;Fin
2354;5;r;marketing;n;16 394;4 882;1.04;0.91;9;Fin
2399;5;r;earnings;n;11 799;4 766;1.41;0.82;6;Fin
2789;6;r;retirement;n;15 172;3 870;0.89;0.89;9;Fin
2986;6;r;equity;n;7 718;3 522;1.60;0.89;8;Fin
3063;7;r;competitor;n;9 933;3 379;1.19;0.90;8;Fin
3106;7;r;fortune;n;12 658;3 312;0.92;0.89;8;Fin
3125;7;r;yield;n;5 869;3 280;1.96;0.84;6;Fin
3216;7;r;brand;n;15 407;3 133;0.71;0.90;9;Fin
3387;7;r;buyer;n;11 807;2 926;0.87;0.88;7;Fin
3593;8;r;entrepreneur;n;6 658;2 684;1.41;0.88;8;Fin
3958;8;r;retail;j;9 553;2 289;0.84;0.89;8;Fin
4288;9;r;mortgage;n;11 570;2 025;0.61;0.80;6;Fin
4387;9;r;auto;n;10 755;1 956;0.64;0.89;9;Fin
4451;9;r;holding;n;5 273;1 920;1.27;0.89;8;Fin
4552;10;r;broker;n;7 252;1 859;0.90;0.83;8;Fin
4568;10;r;airline;n;18 344;1 844;0.35;0.87;8;Fin
4706;10;r;premium;n;5 892;1 766;1.05;0.88;9;Fin
4841;10;r;discount;n;6 205;1 702;0.96;0.86;8;Fin
5001;11;r;profitable;j;4 670;1 617;1.21;0.90;9;Fin
5065;11;r;dividend;n;4 159;1 582;1.33;0.81;5;Fin
5199;11;r;bonus;n;7 259;1 520;0.73;0.89;9;Fin
5320;11;r;fidelity;n;2 696;1 461;1.90;0.87;9;Fin
5369;11;r;shareholder;n;6 028;1 441;0.84;0.80;5;Fin
5418;11;r;banker;n;6 467;1 419;0.77;0.87;7;Fin
5984;12;r;retailer;n;6 546;1 200;0.64;0.83;8;Fin
6085;13;r;bargain;n;5 315;1 166;0.77;0.89;8;Fin
6158;13;r;auction;n;6 075;1 146;0.66;0.86;8;Fin
6194;13;r;insurer;n;4 083;1 137;0.98;0.81;4;Fin
6327;13;r;bet;v;13 158;1 102;0.29;0.90;8;Fin
6367;13;r;bet;n;6 312;1 092;0.61;0.90;8;Fin
6437;13;r;five-year;j;3 535;1 077;1.07;0.91;9;Fin
6590;14;r;entrepreneurial;j;2 131;1 037;1.70;0.89;8;Fin
6628;14;r;hedge;n;4 045;1 024;0.89;0.82;9;Fin
6679;14;r;diversify;v;2 095;1 010;1.69;0.90;8;Fin
6861;14;r;accountant;n;3 907;967;0.87;0.87;7;Fin
6937;14;r;rental;n;5 724;947;0.58;0.88;8;Fin
7083;15;r;distributor;n;2 694;916;1.19;0.87;8;Fin
7131;15;r;fare;n;5 735;907;0.55;0.89;9;Fin
7141;15;r;lately;r;7 290;906;0.44;0.91;8;Fin
7243;15;r;vanguard;n;1 759;885;1.76;0.81;7;Fin
7264;15;r;homeowner;n;5 877;881;0.52;0.87;7;Fin
7295;15;r;bond;v;3 358;875;0.91;0.89;9;Fin
7327;15;r;warehouse;n;5 454;866;0.56;0.84;9;Fin
7351;15;r;subscriber;n;2 863;860;1.05;0.87;9;Fin
7477;15;r;outfit;n;6 522;838;0.45;0.89;8;Fin
